Время                                       Абсолютная
20032                                       13674117
20094                                       13674117
20157                                       13674117
20219                                       13674117
20282                                       13674117
20344                                       13674116
20407                                       13674116
20469                                       13674116
20532                                       13674116
20594                                       13674116
20657                                       13674116
20719                                       13674116
20782                                       13674116
20844                                       13674116
20907                                       13674116
20969                                       13674116
21032                                       13674116
21094                                       13674116
21157                                       13674116
21219                                       13674116
21282                                       13674116
21344                                       13674116
21407                                       13674116
21469                                       13674116
21532                                       13674116
21594                                       13674116
21657                                       13674116
21719                                       13674116
21782                                       13674116
21844                                       13674116
21907                                       13674116
21969                                       13674116
22032                                       13674116
22094                                       13674116
22157                                       13674116
22219                                       13674116
22282                                       13674116
22344                                       13674116
22407                                       13674116
22469                                       13674116
22532                                       13674116
22594                                       13674116
22657                                       13674116
22719                                       13674116
22782                                       13674116
22844                                       13674116
22907                                       13674116
22985                                       13674116
23063                                       13674116
23125                                       13674116
23188                                       13674116
23250                                       13674116
23313                                       13674116
23375                                       13674116
23438                                       13674116
23500                                       13674116
23563                                       13674116
23625                                       13674116
23688                                       13674116
23750                                       13674116
23813                                       13674116
23875                                       13674116
23938                                       13674116
24000                                       13674116
24063                                       13674116
24125                                       13674116
24188                                       13674115
24250                                       13674100
24313                                       13674100
24375                                       13674100
24438                                       13674100
24500                                       13674100
24563                                       13674100
24625                                       13674100
24688                                       13674100
24750                                       13674100
24829                                       13674100
24891                                       13674100
24954                                       13674101
25016                                       13674101
25079                                       13674101
25141                                       13674101
25204                                       13674101
25266                                       13674101
25329                                       13674101
25391                                       13674101
25454                                       13674101
25516                                       13674101
25579                                       13674101
25641                                       13674101
25704                                       13674101
25766                                       13674102
25829                                       13674102
25891                                       13674102
25954                                       13674102
26016                                       13674102
26079                                       13674102
26157                                       13674102
26219                                       13674102
26282                                       13674101
26344                                       13674101
26407                                       13674101
26485                                       13674101
26547                                       13674102
26610                                       13674102
26672                                       13674102
26735                                       13674102
26797                                       13674102
26860                                       13674102
26922                                       13674102
26985                                       13674101
27047                                       13674101
27110                                       13674101
27172                                       13674102
27235                                       13674102
27297                                       13674102
27360                                       13674102
27422                                       13674102
27485                                       13674101
27547                                       13674101
27610                                       13674102
27672                                       13674101
27735                                       13674101
27797                                       13674102
27860                                       13674102
27922                                       13674102
27985                                       13674101
28047                                       13674101
28110                                       13674101
28172                                       13674101
28235                                       13674101
28297                                       13674102
28360                                       13674101
28422                                       13674101
28485                                       13674101
28547                                       13674101
28610                                       13674101
28672                                       13674102
28735                                       13674102
28797                                       13674102
28860                                       13674102
28922                                       13674102
28985                                       13674101
29047                                       13674101
29110                                       13674101
29172                                       13674101
29235                                       13674097
29297                                       13674096
29360                                       13674096
29422                                       13674096
29485                                       13674096
29547                                       13674096
29610                                       13674096
29672                                       13674096
29735                                       13674096
29797                                       13674096
29860                                       13674096
29922                                       13674095
29985                                       13674095
30047                                       13674096
30110                                       13674095
30172                                       13674095
30235                                       13674095
30297                                       13674095
30360                                       13674095
30422                                       13674095
30485                                       13674095
30547                                       13674095
30610                                       13674095
30672                                       13674095
30735                                       13674094
30797                                       13674094
30860                                       13674094
30922                                       13674094
30985                                       13674094
31047                                       13674094
31110                                       13674094
31172                                       13674094
31235                                       13674094
31297                                       13674094
31360                                       13674094
31422                                       13674094
31485                                       13674094
31547                                       13674094
31610                                       13674094
31672                                       13674094
31735                                       13674094
31797                                       13674094
31860                                       13674094
31922                                       13674094
31985                                       13674094
32047                                       13674094
32110                                       13674094
32172                                       13674094
32235                                       13674094
32297                                       13674094
32360                                       13674094
32422                                       13674094
32485                                       13674094
32547                                       13674094
32610                                       13674094
32672                                       13674094
32750                                       13674094
32813                                       13674094
32875                                       13674094
32938                                       13674094
33000                                       13674094
33063                                       13674094
33125                                       13674094
33188                                       13674094
33250                                       13674094
33313                                       13674094
33375                                       13674094
33438                                       13674094
33500                                       13674094
33563                                       13674094
33625                                       13674094
33688                                       13674094
33750                                       13674094
33813                                       13674094
33875                                       13674094
33938                                       13674094
34000                                       13674094
34063                                       13674094
34125                                       13674094
34188                                       13674085
34250                                       13674078
34313                                       13674078
34375                                       13674078
34438                                       13674078
34500                                       13674078
34563                                       13674078
34625                                       13674078
34688                                       13674078
34750                                       13674078
34813                                       13674079
34875                                       13674079
34938                                       13674079
35000                                       13674079
35063                                       13674079
35125                                       13674079
35188                                       13674079
35250                                       13674079
35313                                       13674079
35375                                       13674079
35438                                       13674079
35500                                       13674079
35563                                       13674079
35625                                       13674080
35688                                       13674080
35750                                       13674080
35813                                       13674080
35875                                       13674080
35938                                       13674080
36000                                       13674080
36063                                       13674080
36125                                       13674080
36188                                       13674080
36250                                       13674080
36313                                       13674080
36375                                       13674080
36438                                       13674080
36500                                       13674080
36563                                       13674080
36625                                       13674080
36688                                       13674080
36750                                       13674080
36813                                       13674080
36875                                       13674080
36938                                       13674080
37000                                       13674080
37063                                       13674080
37125                                       13674080
37188                                       13674080
37250                                       13674080
37313                                       13674080
37375                                       13674080
37438                                       13674080
37500                                       13674080
37563                                       13674080
37625                                       13674080
37688                                       13674080
37750                                       13674080
37813                                       13674080
37875                                       13674080
37938                                       13674080
38000                                       13674080
38063                                       13674080
38125                                       13674080
